"Features","Sample"
5459,"sample154"
5277,"sample168"
4861,"sample141"
4363,"sample163"
4293,"sample152"
4091,"sample181"
3536,"sample182"
3479,"sample153"
3114,"sample164"
2881,"sample143"
2668,"sample142"
2646,"sample150"
2014,"sample062"
1862,"sample068"
1845,"sample022"
1783,"sample027"
1738,"sample023"
1696,"sample170"
1661,"sample063"
1643,"sample171"
1590,"sample060"
1554,"sample018"
1551,"sample140"
1549,"sample155"
1535,"sample085"
1460,"sample173"
1444,"sample076"
1343,"sample014"
1327,"sample084"
1301,"sample147"
1252,"sample013"
1145,"sample166"
1136,"sample156"
1066,"sample021"
1020,"sample064"
1016,"sample073"
992,"sample083"
938,"sample070"
818,"sample176"
811,"sample080"
780,"sample161"
746,"sample075"
612,"sample144"
217,"sample074"
203,"sample033"
202,"sample020"
196,"sample061"
174,"sample019"
172,"sample178"
171,"sample177"
164,"sample175"
160,"sample169"
155,"sample057"
147,"sample167"
146,"sample015"
146,"sample071"
142,"sample180"
141,"sample035"
140,"sample086"
137,"sample016"
135,"sample031"
133,"sample078"
128,"sample058"
128,"sample179"
127,"sample081"
126,"sample159"
125,"sample017"
125,"sample028"
125,"sample034"
124,"sample151"
123,"sample079"
123,"sample165"
122,"sample002"
122,"sample026"
121,"sample036"
119,"sample158"
117,"sample065"
116,"sample029"
116,"sample032"
116,"sample148"
115,"sample030"
115,"sample149"
114,"sample025"
114,"sample067"
114,"sample174"
113,"sample069"
113,"sample077"
113,"sample160"
112,"sample066"
112,"sample145"
111,"sample005"
111,"sample087"
111,"sample146"
111,"sample183"
109,"sample001"
109,"sample172"
104,"sample009"
103,"sample082"
93,"sample004"
73,"sample007"
63,"sample008"
62,"sample006"
8,"sample010"
3,"sample011"
